TeamRaiser Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,street1,111 W 11th Street,876 New Street,999 MG Road,111 W 11th Street,111 W 11th Street,111 W 11th Street,,,,,,,,,,,,,,,,,,,,,,,,
,street2,Apt 2RE,Apt 2RE,Apt 5RE,Apt 2RE,Apt 2RE,Apt 2RE,,,,,,,,,,,,,,,,,,,,,,,,
,city,New York,Canada,New York,New York,New York,New York,,,,,,,,,,,,,,,,,,,,,,,,
,state,NY,NY,NY,NY,NY,NY,,,,,,,,,,,,,,,,,,,,,,,,
,zip,10011,10011,10011,10011,10011,10011,,,,,,,,,,,,,,,,,,,,,,,,
,country,United States,United States,United States,United States,United States,United States,,,,,,,,,,,,,,,,,,,,,,,,
,phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New User Info,username,reg_indv1,teamcapt1,jointeam1,donevent1,,,,,,,,,,,,,,,,,,,,,,,,,,
,password,reg_indv1,teamcapt1,jointeam1,donevent1,,,,,,,,,,,,,,,,,,,,,,,,,,
,rememberme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,emailoptin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,emailformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,postaloptin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,teamraiseroptin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Transactions to Single Credit Card,familyname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,creditcard,Visa,Visa,Visa,Visa,Visa,Visa,,,,,,,,,,,,,,,,,,,,,,,,
,cardnumber,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,,,,,,,,,,,,,,,,,,,,,,,
,expmonth,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
,expyear,2009,2009,2009,2009,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,
,verificationcode,111,111,111,111,111,111,,,,,,,,,,,,,,,,,,,,,,,,
Find Team/Individual (Direct Donations),searchteam,,,BST_Team,,,BST_Team,,,,,,,,,,,,,,,,,,,,,,,,
,searchcompany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,searchdivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,searchfirstname,,,,,reg_indv,,,,,,,,,,,,,,,,,,,,,,,,,
,searchlastname,,,,,reg_indv,,,,,,,,,,,,,,,,,,,,,,,,,
All Direct Donations,donationlevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,otheramount,,,,1000,500,3000,,,,,,,,,,,,,,,,,,,,,,,,
,makeanonymousgift,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
,recognitionname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,makedonationpublic,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upsells,publicname0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,publicname9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checked9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,create,nil,nil,nil,nil,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,
Registration Receipt,receipt_purchase_amount,$25.00 ,$10.00 ,$10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_fmv,$10.00 ,$10.00 ,$10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_tax_deductible,$15.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_tracking_code,/\d+-\d+-\d+-\d+-\d+/,/\d+-\d+-\d+-\d+-\d+/,/\d+-\d+-\d+-\d+-\d+/,,,,,,,,,,,,,,,,,,,,,,,,,,,
,registration_participationtype,TR_PARTICIPATION_BST1,TR_PARTICIPATION_BST1,TR_PARTICIPATION_BST1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,registration_extragift,$15.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,registration_total,$25.00 ,$10.00 ,$10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Receipt,receipt_transaction_date,,,,3/26/17,3/26/17,3/26/17,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_level,,,,Enter an Amount,Enter an Amount,Enter an Amount,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_amount,,,,"$1,000.00 ",$500.00 ,"$3,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,receipt_recognition_name,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_anonymous_donation,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_show_gift_amount,,,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_personal_note,,,,nil,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_title,,,,nil,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_first_name,,,,donevent1,donind1,donteam1,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_middle_name,,,,nil,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_last_name,,,,donevent1,donind1,donteam1,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_suffix,,,,nil,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_street_1,,,,111 W 11th Street,111 W 11th Street,111 W 11th Street,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_street_2,,,,Apt 2RE,Apt 2RE,Apt 2RE,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_city,,,,New York,New York,New York,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_state,,,,NY,NY,NY,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_zip,,,,10011,10011,10011,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_country,,,,United States,United States,United States,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_email,,,,devnull+1donevent@convio.com,devnull+1donind@convio.com,devnull+1donteam@convio.com,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_email_optin,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_remember_me,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_payment_type,,,,Credit Card,Credit Card,Credit Card,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_credit_card_number,,,,************1111,************1111,************1111,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_gift_amount,,,,"$1,000.00 ",$500.00 ,"$3,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,receipt_tax_deductible_amount,,,,"$1,000.00 ",$500.00 ,"$3,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,receipt_tax_ID,,,,fake tax id : 123456-789,fake tax id : 123456-789,fake tax id : 123456-789,,,,,,,,,,,,,,,,,,,,,,,,
,receipt_tracking_code,,,,/\d+-\d+-\d+-\d+-\d+/,/\d+-\d+-\d+-\d+-\d+/,/\d+-\d+-\d+-\d+-\d+/,,,,,,,,,,,,,,,,,,,,,,,,
,verify_registration_receipt,nil,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,
,verify_donation_receipt,,,,nil,nil,nil,,,,,,,,,,,,,,,,,,,,,,,,
